Nu4,,,,,,,,,,,,,,,,,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,691558,NA,NA,50.000,52.357,5%,3.1%,,2,,1.84,CalB,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,703034,NA,NA,50.000,53.226,6%,3.1%,,2,,1.84,CalB,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,696309,NA,NA,50.000,52.717,5%,3.1%,,2,,1.83,CalB,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,666943,NA,NA,50.000,50.493,1%,3.1%,,2,,1.84,CalB,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,656339,NA,NA,50.000,49.691,-1%,3.1%,,2,,1.84,CalB,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,661141,NA,NA,50.000,50.054,0%,3.1%,,2,,1.85,CalB,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,652331,NA,NA,50.000,49.387,-1%,3.1%,,2,,1.86,CalB,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,650212,NA,NA,50.000,49.227,-2%,3.1%,,2,,1.85,CalB,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,657403,NA,NA,50.000,49.771,0%,3.1%,,2,,1.85,CalB,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,134516,NA,NA,10.000,10.181,2%,1.7%,,3,,1.84,CalC,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,133036,NA,NA,10.000,10.069,1%,1.7%,,3,,1.84,CalC,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,129309,NA,NA,10.000,9.787,-2%,1.7%,,3,,1.84,CalC,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,127768,NA,NA,10.000,9.670,-3%,1.7%,,3,,1.84,CalC,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalC_05,Std Bracket Sample,,Method Settings,128792,NA,NA,10.000,9.747,-3%,1.7%,,3,,1.84,CalC,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalC_06,Std Bracket Sample,,Method Settings,131358,NA,NA,10.000,9.942,-1%,1.7%,,3,,1.84,CalC,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalC_07,Std Bracket Sample,,Method Settings,128415,NA,NA,10.000,9.719,-3%,1.7%,,3,,1.85,CalC,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalC_08,Std Bracket Sample,,Method Settings,131459,NA,NA,10.000,9.949,-1%,1.7%,,3,,1.85,CalC,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalC_09,Std Bracket Sample,,Method Settings,129502,NA,NA,10.000,9.801,-2%,1.7%,,3,,1.85,CalC,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalD_01,Std Bracket Sample,,Method Settings,15502,NA,NA,1.000,1.170,17%,3.9%,,4,,1.84,CalD,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalD_02,Std Bracket Sample,,Method Settings,15073,NA,NA,1.000,1.137,14%,3.9%,,4,,1.84,CalD,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalD_03,Std Bracket Sample,,Method Settings,14345,NA,NA,1.000,1.082,8%,3.9%,,4,,1.84,CalD,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalD_04,Std Bracket Sample,,Method Settings,14644,NA,NA,1.000,1.105,10%,3.9%,,4,,1.84,CalD,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalD_05,Std Bracket Sample,,Method Settings,14518,NA,NA,1.000,1.095,10%,3.9%,,4,,1.84,CalD,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalD_06,Std Bracket Sample,,Method Settings,15126,NA,NA,1.000,1.141,14%,3.9%,,4,,1.84,CalD,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalD_07,Std Bracket Sample,,Method Settings,13690,NA,NA,1.000,1.032,3%,3.9%,,4,,1.85,CalD,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalD_08,Std Bracket Sample,,Method Settings,14607,NA,NA,1.000,1.102,10%,3.9%,,4,,1.85,CalD,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalD_09,Std Bracket Sample,,Method Settings,14034,NA,NA,1.000,1.058,6%,3.9%,,4,,1.85,CalD,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalE_01,Std Bracket Sample,,Method Settings,6448,NA,NA,0.500,0.484,-3%,5.5%,,5,,1.84,CalE,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalE_02,Std Bracket Sample,,Method Settings,6362,NA,NA,0.500,0.478,-4%,5.5%,,5,,1.84,CalE,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalE_03,Std Bracket Sample,,Method Settings,6811,NA,NA,0.500,0.512,2%,5.5%,,5,,1.85,CalE,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalE_04,Std Bracket Sample,,Method Settings,6262,NA,NA,0.500,0.470,-6%,5.5%,,5,,1.86,CalE,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalE_05,Std Bracket Sample,,Method Settings,5681,NA,NA,0.500,0.426,-15%,5.5%,,5,,1.84,CalE,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalE_06,Std Bracket Sample,,Method Settings,6237,NA,NA,0.500,0.468,-6%,5.5%,,5,,1.84,CalE,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalE_07,Std Bracket Sample,,Method Settings,6102,NA,NA,0.500,0.458,-8%,5.5%,,5,,1.85,CalE,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalE_08,Std Bracket Sample,,Method Settings,5849,NA,NA,0.500,0.439,-12%,5.5%,,5,,1.84,CalE,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalE_09,Std Bracket Sample,,Method Settings,6513,NA,NA,0.500,0.489,-2%,5.5%,,5,,1.85,CalE,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalF_01,Std Bracket Sample,,Method Settings,1456,NA,NA,0.100,0.106,6%,7.4%,,6,,1.84,CalF,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalF_02,Std Bracket Sample,,Method Settings,1315,NA,NA,0.100,0.095,-5%,7.4%,,6,,1.86,CalF,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalF_03,Std Bracket Sample,,Method Settings,1411,NA,NA,0.100,0.103,3%,7.4%,,6,,1.85,CalF,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalF_04,Std Bracket Sample,,Method Settings,1236,NA,NA,0.100,0.089,-11%,7.4%,,6,,1.85,CalF,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalF_05,Std Bracket Sample,,Method Settings,1145,NA,NA,0.100,0.083,-17%,7.4%,,6,,1.84,CalF,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalF_06,Std Bracket Sample,,Method Settings,1271,NA,NA,0.100,0.092,-8%,7.4%,,6,,1.85,CalF,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalF_07,Std Bracket Sample,,Method Settings,1340,NA,NA,0.100,0.097,-3%,7.4%,,6,,1.85,CalF,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalF_08,Std Bracket Sample,,Method Settings,1381,NA,NA,0.100,0.100,0%,7.4%,,6,,1.84,CalF,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalF_09,Std Bracket Sample,,Method Settings,1403,NA,NA,0.100,0.102,2%,7.4%,,6,,1.84,CalF,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalG_01,Std Bracket Sample,,Method Settings,721,NA,NA,0.050,0.050,1%,16.7%,,7,,1.84,CalG,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalG_02,Std Bracket Sample,,Method Settings,688,NA,NA,0.050,0.048,-4%,16.7%,,7,,1.85,CalG,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalG_03,Std Bracket Sample,,Method Settings,515,NA,NA,0.050,0.035,-30%,16.7%,,7,,1.84,CalG,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalG_04,Std Bracket Sample,,Method Settings,717,NA,NA,0.050,0.050,0%,16.7%,,7,,1.85,CalG,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalG_05,Std Bracket Sample,,Method Settings,655,NA,NA,0.050,0.045,-9%,16.7%,,7,,1.83,CalG,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalG_06,Std Bracket Sample,,Method Settings,887,NA,NA,0.050,0.063,26%,16.7%,,7,,1.85,CalG,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalG_07,Std Bracket Sample,,Method Settings,593,NA,NA,0.050,0.041,-18%,16.7%,,7,,1.84,CalG,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalG_08,Std Bracket Sample,,Method Settings,642,NA,NA,0.050,0.044,-11%,16.7%,,7,,1.87,CalG,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalG_09,Std Bracket Sample,,Method Settings,545,NA,NA,0.050,0.037,-26%,16.7%,,7,,1.83,CalG,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalH_01,Std Bracket Sample,,Method Settings,239,NA,NA,0.010,0.014,39%,59.7%,,8,,1.83,CalH,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalH_02,Std Bracket Sample,,Method Settings,228,NA,NA,0.010,0.013,31%,59.7%,,8,,1.86,CalH,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalH_03,Std Bracket Sample,,Method Settings,187,NA,NA,0.010,0.010,1%,59.7%,,8,,1.84,CalH,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalH_04,Std Bracket Sample,,Method Settings,182,NA,NA,0.010,0.010,-3%,59.7%,Response Low,8,,1.85,CalH,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalH_05,Std Bracket Sample,,Method Settings,236,NA,NA,0.010,0.014,38%,59.7%,,8,,1.88,CalH,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalH_06,Std Bracket Sample,,Method Settings,165,NA,NA,0.010,0.008,-16%,59.7%,Response Low,8,,1.84,CalH,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalH_07,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalH_08,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalH_09,Std Bracket Sample,,Method Settings,161,NA,NA,0.010,0.008,-19%,59.7%,Response Low,8,,1.82,CalH,
Nu4,20181029_GM_2O-Me_Exp_blank_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_05,Blank Sample,,Method Settings,88,NA,NA,NA,0.003,NA,NA,Response Low,NA,,1.83,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_06,Blank Sample,,Method Settings,124,NA,NA,NA,0.005,NA,NA,Response Low,NA,,1.85,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_07,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_08,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_09,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_10,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_11,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_12,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_13,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_14,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_15,Blank Sample,,Method Settings,121,NA,NA,NA,0.005,NA,NA,Response Low,NA,,1.85,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_16,Blank Sample,,Method Settings,239,NA,NA,NA,0.014,NA,NA,,NA,,1.83,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_17,Blank Sample,,Method Settings,118,NA,NA,NA,0.005,NA,NA,Response Low,NA,,1.82,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_18,Blank Sample,,Method Settings,165,NA,NA,NA,0.008,NA,NA,Response Low,NA,,1.80,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_19,Blank Sample,,Method Settings,99,NA,NA,NA,0.003,NA,NA,Response Low,NA,,1.83,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_20,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_21,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_22,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_cal_01,Blank Sample,,Method Settings,166,NA,NA,NA,0.008,NA,NA,Response Low,NA,,1.83,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_cal_02,Blank Sample,,Method Settings,220,NA,NA,NA,0.012,NA,NA,,NA,,1.80,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_cal_03,Blank Sample,,Method Settings,340,NA,NA,NA,0.022,NA,NA,,NA,,1.85,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_start_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_blank_start_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_07,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_08,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_09,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_10,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_11,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_12,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_13,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_14,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_15,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_16,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_17,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_18,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_19,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_20,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_21,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_22,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_23,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_24,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_25,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_26,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_27,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_28,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_29,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_30,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_31,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_32,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_33,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_cal_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_cal_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_cal_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_cal_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_cal_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_wash_MeOH_cal_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_1to100_01,Unknown Sample,,Method Settings,43339,NA,NA,NA,3.277,NA,NA,,NA,,1.84,M1_S1 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_1to100_02,Unknown Sample,,Method Settings,42511,NA,NA,NA,3.215,NA,NA,,NA,,1.85,M1_S1 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_1to100_03,Unknown Sample,,Method Settings,43468,NA,NA,NA,3.287,NA,NA,,NA,,1.85,M1_S1 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_1to10k_01,Unknown Sample,,Method Settings,678,NA,NA,NA,0.047,NA,NA,,NA,,1.85,M1_S1 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_1to10k_02,Unknown Sample,,Method Settings,602,NA,NA,NA,0.041,NA,NA,,NA,,1.83,M1_S1 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_1to10k_03,Unknown Sample,,Method Settings,618,NA,NA,NA,0.043,NA,NA,,NA,,1.87,M1_S1 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_01,Unknown Sample,,Method Settings,32085,NA,NA,NA,2.425,NA,NA,,NA,,1.85,M1_S1_Col 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_02,Unknown Sample,,Method Settings,32209,NA,NA,NA,2.435,NA,NA,,NA,,1.85,M1_S1_Col 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_03,Unknown Sample,,Method Settings,32471,NA,NA,NA,2.454,NA,NA,,NA,,1.85,M1_S1_Col 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_01,Unknown Sample,,Method Settings,686,NA,NA,NA,0.048,NA,NA,,NA,,1.83,M1_S1_Col 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_02,Unknown Sample,,Method Settings,551,NA,NA,NA,0.038,NA,NA,,NA,,1.84,M1_S1_Col 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_03,Unknown Sample,,Method Settings,721,NA,NA,NA,0.050,NA,NA,,NA,,1.83,M1_S1_Col 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_01,Unknown Sample,,Method Settings,14563,NA,NA,NA,1.099,NA,NA,,NA,,1.85,M1_S1_Extr 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_02,Unknown Sample,,Method Settings,14603,NA,NA,NA,1.102,NA,NA,,NA,,1.85,M1_S1_Extr 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_03,Unknown Sample,,Method Settings,15408,NA,NA,NA,1.163,NA,NA,,NA,,1.85,M1_S1_Extr 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_01,Unknown Sample,,Method Settings,328,NA,NA,NA,0.021,NA,NA,,NA,,1.85,M1_S1_Extr 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_02,Unknown Sample,,Method Settings,357,NA,NA,NA,0.023,NA,NA,,NA,,1.84,M1_S1_Extr 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_03,Unknown Sample,,Method Settings,209,NA,NA,NA,0.012,NA,NA,,NA,,1.83,M1_S1_Extr 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1A_1to100_01,Unknown Sample,,Method Settings,66226,NA,NA,NA,5.010,NA,NA,,NA,,1.85,M1A 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1A_1to100_02,Unknown Sample,,Method Settings,68851,NA,NA,NA,5.209,NA,NA,,NA,,1.85,M1A 1to100,
