Nu4,,,,,,,,,,,,,,,,,
Nu4,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu4,Nu4,,Linear,1/X,Ignore,Y = 54.5553+13207.4*X   R^2 = 0.9993,,,,,,,,,,,
Nu4,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,1337058,NA,NA,100.000,101.231,1%,1.9%,Response High,1,,1.83,CalA,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,1339181,NA,NA,100.000,101.392,1%,1.9%,Response High,1,,1.84,CalA,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,1330847,NA,NA,100.000,100.761,1%,1.9%,Response High,1,,1.84,CalA,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,1295413,NA,NA,100.000,98.078,-2%,1.9%,,1,,1.85,CalA,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,1322340,NA,NA,100.000,100.117,0%,1.9%,Response High,1,,1.84,CalA,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,1315230,NA,NA,100.000,99.578,0%,1.9%,,1,,1.84,CalA,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,1313971,NA,NA,100.000,99.483,-1%,1.9%,,1,,1.86,CalA,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,1263324,NA,NA,100.000,95.648,-4%,1.9%,,1,,1.85,CalA,
Nu4,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,1285674,NA,NA,100.000,97.341,-3%,1.9%,,1,,1.85,CalA,
