Nu11,,,,,,,,,,,,,,,,,
Nu11,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu11,Nu11,,Linear,1/X,Ignore,Y = 825.392+6469.68*X   R^2 = 0.9968,,,,,,,,,,,
Nu11,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,653647,NA,NA,100.000,100.905,1%,1.2%,Response High,1,,1.63,CalA,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,654864,NA,NA,100.000,101.093,1%,1.2%,Response High,1,,1.63,CalA,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,655158,NA,NA,100.000,101.138,1%,1.2%,Response High,1,,1.63,CalA,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,641876,NA,NA,100.000,99.085,-1%,1.2%,,1,,1.63,CalA,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,647330,NA,NA,100.000,99.928,0%,1.2%,,1,,1.63,CalA,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,645241,NA,NA,100.000,99.605,0%,1.2%,,1,,1.63,CalA,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,651051,NA,NA,100.000,100.503,1%,1.2%,Response High,1,,1.64,CalA,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,635303,NA,NA,100.000,98.069,-2%,1.2%,,1,,1.63,CalA,
