Nu11,,,,,,,,,,,,,,,,,
Nu11,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,635955,NA,NA,100.000,98.170,-2%,1.2%,,1,,1.64,CalA,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,327476,NA,NA,50.000,50.489,1%,1.4%,,2,,1.63,CalB,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,337105,NA,NA,50.000,51.978,4%,1.4%,,2,,1.63,CalB,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,329000,NA,NA,50.000,50.725,1%,1.4%,,2,,1.63,CalB,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,324064,NA,NA,50.000,49.962,0%,1.4%,,2,,1.63,CalB,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,322342,NA,NA,50.000,49.696,-1%,1.4%,,2,,1.63,CalB,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,328387,NA,NA,50.000,50.630,1%,1.4%,,2,,1.63,CalB,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,324194,NA,NA,50.000,49.982,0%,1.4%,,2,,1.63,CalB,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,327788,NA,NA,50.000,50.538,1%,1.4%,,2,,1.64,CalB,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,323596,NA,NA,50.000,49.890,0%,1.4%,,2,,1.64,CalB,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,65944,NA,NA,10.000,10.065,1%,2.6%,,3,,1.63,CalC,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,65678,NA,NA,10.000,10.024,0%,2.6%,,3,,1.64,CalC,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,65067,NA,NA,10.000,9.930,-1%,2.6%,,3,,1.63,CalC,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,60617,NA,NA,10.000,9.242,-8%,2.6%,,3,,1.63,CalC,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalC_05,Std Bracket Sample,,Method Settings,63092,NA,NA,10.000,9.624,-4%,2.6%,,3,,1.63,CalC,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalC_06,Std Bracket Sample,,Method Settings,63525,NA,NA,10.000,9.691,-3%,2.6%,,3,,1.63,CalC,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalC_07,Std Bracket Sample,,Method Settings,64535,NA,NA,10.000,9.847,-2%,2.6%,,3,,1.64,CalC,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalC_08,Std Bracket Sample,,Method Settings,63209,NA,NA,10.000,9.642,-4%,2.6%,,3,,1.64,CalC,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalC_09,Std Bracket Sample,,Method Settings,63478,NA,NA,10.000,9.684,-3%,2.6%,,3,,1.64,CalC,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalD_01,Std Bracket Sample,,Method Settings,7566,NA,NA,1.000,1.042,4%,4.5%,,4,,1.63,CalD,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalD_02,Std Bracket Sample,,Method Settings,7308,NA,NA,1.000,1.002,0%,4.5%,,4,,1.64,CalD,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalD_03,Std Bracket Sample,,Method Settings,7638,NA,NA,1.000,1.053,5%,4.5%,,4,,1.63,CalD,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalD_04,Std Bracket Sample,,Method Settings,7241,NA,NA,1.000,0.992,-1%,4.5%,,4,,1.63,CalD,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalD_05,Std Bracket Sample,,Method Settings,8202,NA,NA,1.000,1.140,14%,4.5%,,4,,1.63,CalD,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalD_06,Std Bracket Sample,,Method Settings,7513,NA,NA,1.000,1.034,3%,4.5%,,4,,1.63,CalD,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalD_07,Std Bracket Sample,,Method Settings,7835,NA,NA,1.000,1.083,8%,4.5%,,4,,1.63,CalD,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalD_08,Std Bracket Sample,,Method Settings,7970,NA,NA,1.000,1.104,10%,4.5%,,4,,1.64,CalD,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalD_09,Std Bracket Sample,,Method Settings,8138,NA,NA,1.000,1.130,13%,4.5%,,4,,1.63,CalD,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalE_01,Std Bracket Sample,,Method Settings,3467,NA,NA,0.500,0.408,-18%,5.9%,,5,,1.64,CalE,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalE_02,Std Bracket Sample,,Method Settings,4110,NA,NA,0.500,0.508,2%,5.9%,,5,,1.63,CalE,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalE_03,Std Bracket Sample,,Method Settings,3654,NA,NA,0.500,0.437,-13%,5.9%,,5,,1.63,CalE,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalE_04,Std Bracket Sample,,Method Settings,3889,NA,NA,0.500,0.473,-5%,5.9%,,5,,1.64,CalE,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalE_05,Std Bracket Sample,,Method Settings,3767,NA,NA,0.500,0.455,-9%,5.9%,,5,,1.62,CalE,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalE_06,Std Bracket Sample,,Method Settings,3793,NA,NA,0.500,0.459,-8%,5.9%,,5,,1.63,CalE,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalE_07,Std Bracket Sample,,Method Settings,3520,NA,NA,0.500,0.417,-17%,5.9%,,5,,1.63,CalE,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalE_08,Std Bracket Sample,,Method Settings,4076,NA,NA,0.500,0.502,0%,5.9%,,5,,1.64,CalE,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalE_09,Std Bracket Sample,,Method Settings,3711,NA,NA,0.500,0.446,-11%,5.9%,,5,,1.63,CalE,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalF_01,Std Bracket Sample,,Method Settings,979,NA,NA,0.100,0.024,-76%,22.3%,,6,,1.62,CalF,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalF_02,Std Bracket Sample,,Method Settings,973,NA,NA,0.100,0.023,-77%,22.3%,,6,,1.63,CalF,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalF_03,Std Bracket Sample,,Method Settings,898,NA,NA,0.100,0.011,-89%,22.3%,,6,,1.62,CalF,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalF_04,Std Bracket Sample,,Method Settings,1107,NA,NA,0.100,0.044,-56%,22.3%,,6,,1.62,CalF,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalF_05,Std Bracket Sample,,Method Settings,1365,NA,NA,0.100,0.083,-17%,22.3%,,6,,1.64,CalF,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalF_06,Std Bracket Sample,,Method Settings,1138,NA,NA,0.100,0.048,-52%,22.3%,,6,,1.64,CalF,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalF_07,Std Bracket Sample,,Method Settings,1411,NA,NA,0.100,0.090,-10%,22.3%,,6,,1.62,CalF,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalF_08,Std Bracket Sample,,Method Settings,1711,NA,NA,0.100,0.137,37%,22.3%,,6,,1.63,CalF,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalF_09,Std Bracket Sample,,Method Settings,1462,NA,NA,0.100,0.098,-2%,22.3%,,6,,1.63,CalF,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalG_01,Std Bracket Sample,,Method Settings,556,NA,NA,0.050,-0.042,-183%,38.2%,Response Low,7,,1.64,CalG,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalG_02,Std Bracket Sample,,Method Settings,712,NA,NA,0.050,-0.018,-135%,38.2%,Response Low,7,,1.64,CalG,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalG_03,Std Bracket Sample,,Method Settings,756,NA,NA,0.050,-0.011,-121%,38.2%,Response Low,7,,1.63,CalG,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalG_04,Std Bracket Sample,,Method Settings,1066,NA,NA,0.050,0.037,-26%,38.2%,,7,,1.62,CalG,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalG_05,Std Bracket Sample,,Method Settings,1100,NA,NA,0.050,0.042,-15%,38.2%,,7,,1.64,CalG,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalG_06,Std Bracket Sample,,Method Settings,1097,NA,NA,0.050,0.042,-16%,38.2%,,7,,1.63,CalG,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalG_07,Std Bracket Sample,,Method Settings,1852,NA,NA,0.050,0.159,217%,38.2%,,7,,1.63,CalG,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalG_08,Std Bracket Sample,,Method Settings,1607,NA,NA,0.050,0.121,142%,38.2%,,7,,1.63,CalG,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalG_09,Std Bracket Sample,,Method Settings,1431,NA,NA,0.050,0.094,87%,38.2%,,7,,1.63,CalG,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalH_01,Std Bracket Sample,,Method Settings,344,NA,NA,0.010,-0.074,-844%,44.7%,Response Low,8,,1.63,CalH,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalH_02,Std Bracket Sample,,Method Settings,341,NA,NA,0.010,-0.075,-849%,44.7%,Response Low,8,,1.63,CalH,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalH_03,Std Bracket Sample,,Method Settings,578,NA,NA,0.010,-0.038,-482%,44.7%,Response Low,8,,1.64,CalH,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalH_04,Std Bracket Sample,,Method Settings,1121,NA,NA,0.010,0.046,356%,44.7%,,8,,1.62,CalH,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalH_05,Std Bracket Sample,,Method Settings,868,NA,NA,0.010,0.007,-34%,44.7%,Response Low,8,,1.65,CalH,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalH_06,Std Bracket Sample,,Method Settings,1038,NA,NA,0.010,0.033,229%,44.7%,,8,,1.63,CalH,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalH_07,Std Bracket Sample,,Method Settings,1280,NA,NA,0.010,0.070,603%,44.7%,,8,,1.57,CalH,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalH_08,Std Bracket Sample,,Method Settings,1364,NA,NA,0.010,0.083,732%,44.7%,,8,,1.59,CalH,
Nu11,20181029_GM_2O-Me_Exp_Mix19_CalH_09,Std Bracket Sample,,Method Settings,1354,NA,NA,0.010,0.082,717%,44.7%,,8,,1.57,CalH,
Nu11,20181029_GM_2O-Me_Exp_blank_01,Blank Sample,,Method Settings,329,NA,NA,NA,-0.077,NA,NA,Response Low,NA,,1.67,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_03,Blank Sample,,Method Settings,311,NA,NA,NA,-0.079,NA,NA,Response Low,NA,,1.60,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_04,Blank Sample,,Method Settings,257,NA,NA,NA,-0.088,NA,NA,Response Low,NA,,1.64,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_06,Blank Sample,,Method Settings,523,NA,NA,NA,-0.047,NA,NA,Response Low,NA,,1.61,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_07,Blank Sample,,Method Settings,425,NA,NA,NA,-0.062,NA,NA,Response Low,NA,,1.61,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_08,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_09,Blank Sample,,Method Settings,360,NA,NA,NA,-0.072,NA,NA,Response Low,NA,,1.65,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_10,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_11,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_12,Blank Sample,,Method Settings,581,NA,NA,NA,-0.038,NA,NA,Response Low,NA,,1.64,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_13,Blank Sample,,Method Settings,653,NA,NA,NA,-0.027,NA,NA,Response Low,NA,,1.64,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_14,Blank Sample,,Method Settings,710,NA,NA,NA,-0.018,NA,NA,Response Low,NA,,1.67,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_15,Blank Sample,,Method Settings,1032,NA,NA,NA,0.032,NA,NA,,NA,,1.64,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_16,Blank Sample,,Method Settings,880,NA,NA,NA,0.008,NA,NA,Response Low,NA,,1.62,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_17,Blank Sample,,Method Settings,915,NA,NA,NA,0.014,NA,NA,,NA,,1.61,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_18,Blank Sample,,Method Settings,1037,NA,NA,NA,0.033,NA,NA,,NA,,1.62,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_19,Blank Sample,,Method Settings,518,NA,NA,NA,-0.047,NA,NA,Response Low,NA,,1.62,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_20,Blank Sample,,Method Settings,668,NA,NA,NA,-0.024,NA,NA,Response Low,NA,,1.62,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_21,Blank Sample,,Method Settings,576,NA,NA,NA,-0.039,NA,NA,Response Low,NA,,1.63,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_22,Blank Sample,,Method Settings,1397,NA,NA,NA,0.088,NA,NA,,NA,,1.62,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_cal_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_cal_02,Blank Sample,,Method Settings,512,NA,NA,NA,-0.048,NA,NA,Response Low,NA,,1.62,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_cal_03,Blank Sample,,Method Settings,665,NA,NA,NA,-0.025,NA,NA,Response Low,NA,,1.63,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_start_01,Blank Sample,,Method Settings,904,NA,NA,NA,0.012,NA,NA,,NA,,1.42,blank,
Nu11,20181029_GM_2O-Me_Exp_blank_start_02,Blank Sample,,Method Settings,309,NA,NA,NA,-0.080,NA,NA,Response Low,NA,,1.63,blank,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_01,Blank Sample,,Method Settings,780,NA,NA,NA,-0.007,NA,NA,Response Low,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_02,Blank Sample,,Method Settings,810,NA,NA,NA,-0.002,NA,NA,Response Low,NA,,1.40,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_03,Blank Sample,,Method Settings,795,NA,NA,NA,-0.005,NA,NA,Response Low,NA,,1.44,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_04,Blank Sample,,Method Settings,677,NA,NA,NA,-0.023,NA,NA,Response Low,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_05,Blank Sample,,Method Settings,727,NA,NA,NA,-0.015,NA,NA,Response Low,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_06,Blank Sample,,Method Settings,1131,NA,NA,NA,0.047,NA,NA,,NA,,1.45,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_07,Blank Sample,,Method Settings,1107,NA,NA,NA,0.044,NA,NA,,NA,,1.41,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_08,Blank Sample,,Method Settings,724,NA,NA,NA,-0.016,NA,NA,Response Low,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_09,Blank Sample,,Method Settings,636,NA,NA,NA,-0.029,NA,NA,Response Low,NA,,1.43,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_10,Blank Sample,,Method Settings,706,NA,NA,NA,-0.018,NA,NA,Response Low,NA,,1.45,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_11,Blank Sample,,Method Settings,791,NA,NA,NA,-0.005,NA,NA,Response Low,NA,,1.41,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_12,Blank Sample,,Method Settings,1034,NA,NA,NA,0.032,NA,NA,,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_13,Blank Sample,,Method Settings,1152,NA,NA,NA,0.050,NA,NA,,NA,,1.40,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_14,Blank Sample,,Method Settings,1607,NA,NA,NA,0.121,NA,NA,,NA,,1.41,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_15,Blank Sample,,Method Settings,1331,NA,NA,NA,0.078,NA,NA,,NA,,1.45,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_16,Blank Sample,,Method Settings,1858,NA,NA,NA,0.160,NA,NA,,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_17,Blank Sample,,Method Settings,1534,NA,NA,NA,0.110,NA,NA,,NA,,1.40,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_18,Blank Sample,,Method Settings,1987,NA,NA,NA,0.180,NA,NA,,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_19,Blank Sample,,Method Settings,1716,NA,NA,NA,0.138,NA,NA,,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_20,Blank Sample,,Method Settings,1970,NA,NA,NA,0.177,NA,NA,,NA,,1.41,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_21,Blank Sample,,Method Settings,1442,NA,NA,NA,0.095,NA,NA,,NA,,1.40,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_22,Blank Sample,,Method Settings,1652,NA,NA,NA,0.128,NA,NA,,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_23,Blank Sample,,Method Settings,1526,NA,NA,NA,0.108,NA,NA,,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_24,Blank Sample,,Method Settings,2090,NA,NA,NA,0.195,NA,NA,,NA,,1.41,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_25,Blank Sample,,Method Settings,1705,NA,NA,NA,0.136,NA,NA,,NA,,1.40,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_26,Blank Sample,,Method Settings,1445,NA,NA,NA,0.096,NA,NA,,NA,,1.41,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_27,Blank Sample,,Method Settings,1465,NA,NA,NA,0.099,NA,NA,,NA,,1.44,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_28,Blank Sample,,Method Settings,1639,NA,NA,NA,0.126,NA,NA,,NA,,1.41,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_29,Blank Sample,,Method Settings,1220,NA,NA,NA,0.061,NA,NA,,NA,,1.44,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_30,Blank Sample,,Method Settings,1152,NA,NA,NA,0.050,NA,NA,,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_31,Blank Sample,,Method Settings,1173,NA,NA,NA,0.054,NA,NA,,NA,,1.43,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_32,Blank Sample,,Method Settings,2543,NA,NA,NA,0.265,NA,NA,,NA,,1.41,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_33,Blank Sample,,Method Settings,2194,NA,NA,NA,0.212,NA,NA,,NA,,1.41,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_cal_01,Blank Sample,,Method Settings,872,NA,NA,NA,0.007,NA,NA,Response Low,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_cal_02,Blank Sample,,Method Settings,811,NA,NA,NA,-0.002,NA,NA,Response Low,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_cal_03,Blank Sample,,Method Settings,1195,NA,NA,NA,0.057,NA,NA,,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_cal_04,Blank Sample,,Method Settings,1155,NA,NA,NA,0.051,NA,NA,,NA,,1.41,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_cal_05,Blank Sample,,Method Settings,1187,NA,NA,NA,0.056,NA,NA,,NA,,1.40,wash,
Nu11,20181029_GM_2O-Me_Exp_wash_MeOH_cal_06,Blank Sample,,Method Settings,1392,NA,NA,NA,0.088,NA,NA,,NA,,1.42,wash,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_1to100_01,Unknown Sample,,Method Settings,1768869,NA,NA,NA,273.281,NA,NA,Response High,NA,,1.63,M1_S1 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_1to100_02,Unknown Sample,,Method Settings,1792386,NA,NA,NA,276.916,NA,NA,Response High,NA,,1.63,M1_S1 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_1to100_03,Unknown Sample,,Method Settings,1786596,NA,NA,NA,276.021,NA,NA,Response High,NA,,1.63,M1_S1 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_1to10k_01,Unknown Sample,,Method Settings,32418,NA,NA,NA,4.883,NA,NA,,NA,,1.63,M1_S1 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_1to10k_02,Unknown Sample,,Method Settings,34962,NA,NA,NA,5.276,NA,NA,,NA,,1.63,M1_S1 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_1to10k_03,Unknown Sample,,Method Settings,34814,NA,NA,NA,5.253,NA,NA,,NA,,1.63,M1_S1 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_01,Unknown Sample,,Method Settings,1415010,NA,NA,NA,218.586,NA,NA,Response High,NA,,1.63,M1_S1_Col 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_02,Unknown Sample,,Method Settings,1406653,NA,NA,NA,217.295,NA,NA,Response High,NA,,1.63,M1_S1_Col 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_03,Unknown Sample,,Method Settings,1411341,NA,NA,NA,218.019,NA,NA,Response High,NA,,1.63,M1_S1_Col 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_01,Unknown Sample,,Method Settings,25309,NA,NA,NA,3.784,NA,NA,,NA,,1.63,M1_S1_Col 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_02,Unknown Sample,,Method Settings,24787,NA,NA,NA,3.704,NA,NA,,NA,,1.63,M1_S1_Col 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_03,Unknown Sample,,Method Settings,25936,NA,NA,NA,3.881,NA,NA,,NA,,1.63,M1_S1_Col 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_01,Unknown Sample,,Method Settings,1021955,NA,NA,NA,157.833,NA,NA,Response High,NA,,1.63,M1_S1_Extr 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_02,Unknown Sample,,Method Settings,1037303,NA,NA,NA,160.205,NA,NA,Response High,NA,,1.63,M1_S1_Extr 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_03,Unknown Sample,,Method Settings,1038137,NA,NA,NA,160.334,NA,NA,Response High,NA,,1.63,M1_S1_Extr 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_01,Unknown Sample,,Method Settings,18379,NA,NA,NA,2.713,NA,NA,,NA,,1.63,M1_S1_Extr 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_02,Unknown Sample,,Method Settings,18077,NA,NA,NA,2.666,NA,NA,,NA,,1.63,M1_S1_Extr 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_03,Unknown Sample,,Method Settings,18878,NA,NA,NA,2.790,NA,NA,,NA,,1.63,M1_S1_Extr 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1A_1to100_01,Unknown Sample,,Method Settings,2983180,NA,NA,NA,460.974,NA,NA,Response High,NA,,1.63,M1A 1to100,
