Uri,,,,,,,,,,,,,,,,,
Uri,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Uri,Uri,,Linear,1/X,Ignore,Y = 292.135+1513.01*X   R^2 = 0.9982,,,,,,,,,,,
Uri,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Uri,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_01,Unknown Sample,,Method Settings,3043,NA,NA,NA,1.818,NA,NA,,NA,,2.34,M1_S1_Extr 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_02,Unknown Sample,,Method Settings,3736,NA,NA,NA,2.276,NA,NA,,NA,,2.37,M1_S1_Extr 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_03,Unknown Sample,,Method Settings,3531,NA,NA,NA,2.141,NA,NA,,NA,,2.36,M1_S1_Extr 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1A_1to100_01,Unknown Sample,,Method Settings,403024,NA,NA,NA,266.179,NA,NA,Response High,NA,,2.37,M1A 1to100,
Uri,20181029_GM_2O-Me_Exp_M1A_1to100_02,Unknown Sample,,Method Settings,420915,NA,NA,NA,278.004,NA,NA,Response High,NA,,2.37,M1A 1to100,
Uri,20181029_GM_2O-Me_Exp_M1A_1to100_03,Unknown Sample,,Method Settings,426629,NA,NA,NA,281.780,NA,NA,Response High,NA,,2.37,M1A 1to100,
Uri,20181029_GM_2O-Me_Exp_M1A_1to10k_01,Unknown Sample,,Method Settings,6644,NA,NA,NA,4.198,NA,NA,,NA,,2.37,M1A 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1A_1to10k_02,Unknown Sample,,Method Settings,6885,NA,NA,NA,4.358,NA,NA,,NA,,2.35,M1A 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1A_1to10k_03,Unknown Sample,,Method Settings,6522,NA,NA,NA,4.117,NA,NA,,NA,,2.37,M1A 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1A_Col_1to100_01,Unknown Sample,,Method Settings,362243,NA,NA,NA,239.226,NA,NA,Response High,NA,,2.37,M1A_Col 1to100,
Uri,20181029_GM_2O-Me_Exp_M1A_Col_1to100_02,Unknown Sample,,Method Settings,361589,NA,NA,NA,238.793,NA,NA,Response High,NA,,2.37,M1A_Col 1to100,
Uri,20181029_GM_2O-Me_Exp_M1A_Col_1to100_03,Unknown Sample,,Method Settings,359094,NA,NA,NA,237.144,NA,NA,Response High,NA,,2.36,M1A_Col 1to100,
Uri,20181029_GM_2O-Me_Exp_M1A_Col_1to10k_01,Unknown Sample,,Method Settings,5312,NA,NA,NA,3.318,NA,NA,,NA,,2.34,M1A_Col 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1A_Col_1to10k_02,Unknown Sample,,Method Settings,6015,NA,NA,NA,3.782,NA,NA,,NA,,2.34,M1A_Col 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1A_Col_1to10k_03,Unknown Sample,,Method Settings,5294,NA,NA,NA,3.306,NA,NA,,NA,,2.36,M1A_Col 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1A_Extr_1to100_01,Unknown Sample,,Method Settings,170908,NA,NA,NA,112.766,NA,NA,Response High,NA,,2.36,M1A_Extr 1to100,
Uri,20181029_GM_2O-Me_Exp_M1A_Extr_1to100_02,Unknown Sample,,Method Settings,173078,NA,NA,NA,114.200,NA,NA,Response High,NA,,2.36,M1A_Extr 1to100,
Uri,20181029_GM_2O-Me_Exp_M1A_Extr_1to100_03,Unknown Sample,,Method Settings,171575,NA,NA,NA,113.207,NA,NA,Response High,NA,,2.35,M1A_Extr 1to100,
Uri,20181029_GM_2O-Me_Exp_M1A_Extr_1to10k_01,Unknown Sample,,Method Settings,2425,NA,NA,NA,1.409,NA,NA,,NA,,2.34,M1A_Extr 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1A_Extr_1to10k_02,Unknown Sample,,Method Settings,2280,NA,NA,NA,1.314,NA,NA,,NA,,2.36,M1A_Extr 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1A_Extr_1to10k_03,Unknown Sample,,Method Settings,2250,NA,NA,NA,1.294,NA,NA,,NA,,2.36,M1A_Extr 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1B_1to100_01,Unknown Sample,,Method Settings,450741,NA,NA,NA,297.717,NA,NA,Response High,NA,,2.36,M1B 1to100,
Uri,20181029_GM_2O-Me_Exp_M1B_1to100_02,Unknown Sample,,Method Settings,439832,NA,NA,NA,290.507,NA,NA,Response High,NA,,2.36,M1B 1to100,
Uri,20181029_GM_2O-Me_Exp_M1B_1to100_03,Unknown Sample,,Method Settings,432720,NA,NA,NA,285.806,NA,NA,Response High,NA,,2.36,M1B 1to100,
Uri,20181029_GM_2O-Me_Exp_M1B_1to10k_01,Unknown Sample,,Method Settings,7465,NA,NA,NA,4.741,NA,NA,,NA,,2.37,M1B 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1B_1to10k_02,Unknown Sample,,Method Settings,6773,NA,NA,NA,4.283,NA,NA,,NA,,2.37,M1B 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1B_1to10k_03,Unknown Sample,,Method Settings,7882,NA,NA,NA,5.016,NA,NA,,NA,,2.38,M1B 1to10k,
Uri,20181029_GM_2O-Me_Exp_S1A_1to100_01,Unknown Sample,,Method Settings,511477,NA,NA,NA,337.859,NA,NA,Response High,NA,,2.37,S1A 1to100,
Uri,20181029_GM_2O-Me_Exp_S1A_1to100_02,Unknown Sample,,Method Settings,509148,NA,NA,NA,336.320,NA,NA,Response High,NA,,2.37,S1A 1to100,
Uri,20181029_GM_2O-Me_Exp_S1A_1to100_03,Unknown Sample,,Method Settings,513111,NA,NA,NA,338.940,NA,NA,Response High,NA,,2.37,S1A 1to100,
Uri,20181029_GM_2O-Me_Exp_S1A_1to10k_01,Unknown Sample,,Method Settings,7602,NA,NA,NA,4.831,NA,NA,,NA,,2.38,S1A 1to10k,
Uri,20181029_GM_2O-Me_Exp_S1A_1to10k_02,Unknown Sample,,Method Settings,7919,NA,NA,NA,5.041,NA,NA,,NA,,2.39,S1A 1to10k,
Uri,20181029_GM_2O-Me_Exp_S1A_1to10k_03,Unknown Sample,,Method Settings,7783,NA,NA,NA,4.951,NA,NA,,NA,,2.38,S1A 1to10k,
Uri,20181029_GM_2O-Me_Exp_S1B_1to100_01,Unknown Sample,,Method Settings,465133,NA,NA,NA,307.229,NA,NA,Response High,NA,,2.35,S1B 1to100,
Uri,20181029_GM_2O-Me_Exp_S1B_1to100_02,Unknown Sample,,Method Settings,455072,NA,NA,NA,300.580,NA,NA,Response High,NA,,2.35,S1B 1to100,
Uri,20181029_GM_2O-Me_Exp_S1B_1to100_03,Unknown Sample,,Method Settings,458449,NA,NA,NA,302.811,NA,NA,Response High,NA,,2.36,S1B 1to100,
Uri,20181029_GM_2O-Me_Exp_S1B_1to10k_01,Unknown Sample,,Method Settings,7213,NA,NA,NA,4.574,NA,NA,,NA,,2.38,S1B 1to10k,
Uri,20181029_GM_2O-Me_Exp_S1B_1to10k_02,Unknown Sample,,Method Settings,7586,NA,NA,NA,4.821,NA,NA,,NA,,2.40,S1B 1to10k,
Uri,20181029_GM_2O-Me_Exp_S1B_1to10k_03,Unknown Sample,,Method Settings,7005,NA,NA,NA,4.437,NA,NA,,NA,,2.39,S1B 1to10k,
Uri,20181029_GM_2O-Me_Exp_S3A_1to100_01,Unknown Sample,,Method Settings,436619,NA,NA,NA,288.383,NA,NA,Response High,NA,,2.37,S3A 1to100,
Uri,20181029_GM_2O-Me_Exp_S3A_1to100_02,Unknown Sample,,Method Settings,429313,NA,NA,NA,283.554,NA,NA,Response High,NA,,2.35,S3A 1to100,
Uri,20181029_GM_2O-Me_Exp_S3A_1to100_03,Unknown Sample,,Method Settings,417407,NA,NA,NA,275.685,NA,NA,Response High,NA,,2.35,S3A 1to100,
Uri,20181029_GM_2O-Me_Exp_S3A_1to10k_01,Unknown Sample,,Method Settings,7450,NA,NA,NA,4.731,NA,NA,,NA,,2.38,S3A 1to10k,
Uri,20181029_GM_2O-Me_Exp_S3A_1to10k_02,Unknown Sample,,Method Settings,7446,NA,NA,NA,4.728,NA,NA,,NA,,2.38,S3A 1to10k,
Uri,20181029_GM_2O-Me_Exp_S3A_1to10k_03,Unknown Sample,,Method Settings,6962,NA,NA,NA,4.408,NA,NA,,NA,,2.37,S3A 1to10k,
Uri,20181029_GM_2O-Me_Exp_S3B_1to100_01,Unknown Sample,,Method Settings,445350,NA,NA,NA,294.154,NA,NA,Response High,NA,,2.37,S3B 1to100,
Uri,20181029_GM_2O-Me_Exp_S3B_1to100_02,Unknown Sample,,Method Settings,452895,NA,NA,NA,299.140,NA,NA,Response High,NA,,2.37,S3B 1to100,
Uri,20181029_GM_2O-Me_Exp_S3B_1to100_03,Unknown Sample,,Method Settings,435271,NA,NA,NA,287.493,NA,NA,Response High,NA,,2.37,S3B 1to100,
Uri,20181029_GM_2O-Me_Exp_S3B_1to10k_01,Unknown Sample,,Method Settings,9673,NA,NA,NA,6.200,NA,NA,,NA,,2.37,S3B 1to10k,
Uri,20181029_GM_2O-Me_Exp_S3B_1to10k_02,Unknown Sample,,Method Settings,10461,NA,NA,NA,6.721,NA,NA,,NA,,2.37,S3B 1to10k,
Uri,20181029_GM_2O-Me_Exp_S3B_1to10k_03,Unknown Sample,,Method Settings,9155,NA,NA,NA,5.858,NA,NA,,NA,,2.44,S3B 1to10k,
Uri,,,,,,,,,,,,,,,,,
Uri,,,,,,,,,,,,,,,,,
Uri,,,,,,,,,,,,,,,,,
Uri,Created By:,,,,,,,,,,,,,,,,
Uri,User Name,,Full Name,,Date,,,,,,,,,,,,
Uri,TSQ_Quantiva,,TSQ_Quantiva,,          11/1/2018 8:23:01 PM,,,,,,,,,,,,
