Uri,,,,,,,,,,,,,,,,,
Uri,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Uri,Uri,,Linear,1/X,Ignore,Y = 292.135+1513.01*X   R^2 = 0.9982,,,,,,,,,,,
Uri,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalD_03,Std Bracket Sample,,Method Settings,1856,NA,NA,1.000,1.033,3%,5.8%,,4,,2.35,CalD,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalD_04,Std Bracket Sample,,Method Settings,1853,NA,NA,1.000,1.032,3%,5.8%,,4,,2.35,CalD,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalD_05,Std Bracket Sample,,Method Settings,1927,NA,NA,1.000,1.080,8%,5.8%,,4,,2.35,CalD,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalD_06,Std Bracket Sample,,Method Settings,2093,NA,NA,1.000,1.190,19%,5.8%,,4,,2.36,CalD,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalD_07,Std Bracket Sample,,Method Settings,1727,NA,NA,1.000,0.948,-5%,5.8%,,4,,2.37,CalD,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalD_08,Std Bracket Sample,,Method Settings,1982,NA,NA,1.000,1.117,12%,5.8%,,4,,2.38,CalD,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalD_09,Std Bracket Sample,,Method Settings,2052,NA,NA,1.000,1.163,16%,5.8%,,4,,2.39,CalD,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalE_01,Std Bracket Sample,,Method Settings,1053,NA,NA,0.500,0.503,1%,13.1%,,5,,2.37,CalE,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalE_02,Std Bracket Sample,,Method Settings,1157,NA,NA,0.500,0.571,14%,13.1%,,5,,2.38,CalE,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalE_03,Std Bracket Sample,,Method Settings,865,NA,NA,0.500,0.379,-24%,13.1%,,5,,2.37,CalE,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalE_04,Std Bracket Sample,,Method Settings,849,NA,NA,0.500,0.368,-26%,13.1%,,5,,2.36,CalE,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalE_05,Std Bracket Sample,,Method Settings,848,NA,NA,0.500,0.367,-27%,13.1%,,5,,2.34,CalE,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalE_06,Std Bracket Sample,,Method Settings,1015,NA,NA,0.500,0.478,-4%,13.1%,,5,,2.38,CalE,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalE_07,Std Bracket Sample,,Method Settings,1183,NA,NA,0.500,0.589,18%,13.1%,,5,,2.36,CalE,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalE_08,Std Bracket Sample,,Method Settings,906,NA,NA,0.500,0.406,-19%,13.1%,,5,,2.39,CalE,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalE_09,Std Bracket Sample,,Method Settings,1042,NA,NA,0.500,0.496,-1%,13.1%,,5,,2.36,CalE,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalF_01,Std Bracket Sample,,Method Settings,NF,NA,NF,0.100,NF,NF,NF,Not Found,6,,NF,CalF,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalF_02,Std Bracket Sample,,Method Settings,NF,NA,NF,0.100,NF,NF,NF,Not Found,6,,NF,CalF,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalF_03,Std Bracket Sample,,Method Settings,NF,NA,NF,0.100,NF,NF,NF,Not Found,6,,NF,CalF,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalF_04,Std Bracket Sample,,Method Settings,337,NA,NA,0.100,0.030,-70%,86.3%,,6,,2.33,CalF,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalF_05,Std Bracket Sample,,Method Settings,350,NA,NA,0.100,0.038,-62%,86.3%,,6,,2.36,CalF,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalF_06,Std Bracket Sample,,Method Settings,349,NA,NA,0.100,0.037,-63%,86.3%,,6,,2.36,CalF,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalF_07,Std Bracket Sample,,Method Settings,351,NA,NA,0.100,0.039,-61%,86.3%,,6,,2.39,CalF,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalF_08,Std Bracket Sample,,Method Settings,707,NA,NA,0.100,0.274,174%,86.3%,,6,,2.37,CalF,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalF_09,Std Bracket Sample,,Method Settings,354,NA,NA,0.100,0.041,-59%,86.3%,,6,,2.33,CalF,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalG_01,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalG_02,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalG_03,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalG_04,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalG_05,Std Bracket Sample,,Method Settings,283,NA,NA,0.050,-0.006,-112%,119.9%,Response Low,7,,2.33,CalG,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalG_06,Std Bracket Sample,,Method Settings,361,NA,NA,0.050,0.046,-8%,119.9%,,7,,2.36,CalG,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalG_07,Std Bracket Sample,,Method Settings,274,NA,NA,0.050,-0.012,-124%,119.9%,Response Low,7,,2.38,CalG,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalG_08,Std Bracket Sample,,Method Settings,315,NA,NA,0.050,0.015,-69%,119.9%,,7,,2.36,CalG,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalG_09,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalH_01,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalH_02,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalH_03,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalH_04,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalH_05,Std Bracket Sample,,Method Settings,280,NA,NA,0.010,-0.008,-183%,152.3%,Response Low,8,,2.37,CalH,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalH_06,Std Bracket Sample,,Method Settings,310,NA,NA,0.010,0.012,16%,152.3%,,8,,2.35,CalH,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalH_07,Std Bracket Sample,,Method Settings,392,NA,NA,0.010,0.066,558%,152.3%,,8,,2.33,CalH,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalH_08,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Uri,20181029_GM_2O-Me_Exp_Mix19_CalH_09,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Uri,20181029_GM_2O-Me_Exp_blank_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_07,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_08,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_09,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_10,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_11,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_12,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
